Review,sentiment,polarity,overall_sentiment
"The location of this Airbnb was perfect, close to all the popular attractions.",positive,0.8,positive
"The cleanliness of the Airbnb was outstanding, everything was spotless.",positive,0.5,positive
The neighborhood where this Airbnb is situated was vibrant and full of life.,positive,0.2583333333333333,positive
I felt completely safe and secure during my stay at this Airbnb.,positive,0.45,positive
"They were so welcoming to my pet, it felt like a home away from home.",neutral,0.0,neutral
The host was incredibly helpful and accommodating.,positive,0.9,positive
The location of this Airbnb was a bit far from the city center.,neutral,0.0,neutral
"The cleanliness of the Airbnb could have been better, there were some dusty areas.",positive,0.04999999999999999,positive
The neighborhood where this Airbnb is located was noisy and crowded.,neutral,0.0,neutral
I had some concerns about the security of the building.,neutral,0.0,neutral
"Unfortunately, this Airbnb did not allow pets.",negative,-0.5,negative
The host was unresponsive and difficult to reach.,negative,-0.5,negative
"The location of this Airbnb was amazing, with stunning views.",positive,0.55,positive
"The cleanliness of the Airbnb was impeccable, I was impressed.",positive,0.875,positive
The neighborhood where this Airbnb is situated was peaceful and charming.,positive,0.475,positive
I felt very safe and secure in this well-guarded Airbnb.,positive,0.525,positive
"They provided all the necessary amenities for my pet, it was fantastic.",positive,0.2,positive
"The host was incredibly friendly and helpful, making my stay enjoyable.",positive,0.4375,positive
"The location of this Airbnb was a bit isolated, far from amenities.",positive,0.1,positive
"The cleanliness of the Airbnb was subpar, there were some stains on the linens.",neutral,0.0,neutral
The neighborhood where this Airbnb is located had limited dining options.,negative,-0.07142857142857142,negative
"I had concerns about the security of the neighborhood, especially at night.",neutral,0.0,neutral
"Unfortunately, this Airbnb did not allow pets, which was disappointing.",negative,-0.55,negative
The host was unresponsive to my inquiries and requests.,neutral,0.0,neutral
The location of this Airbnb was conveniently located near public transportation.,positive,0.05,positive
"The cleanliness of the Airbnb exceeded my expectations, it was spotless.",neutral,0.0,neutral
The neighborhood where this Airbnb is situated had a vibrant nightlife scene.,positive,0.16666666666666666,positive
I felt secure and comfortable with the provided security measures at this Airbnb.,positive,0.4,positive
"They welcomed my pet with open arms, providing pet beds and bowls.",neutral,0.0,neutral
The host was incredibly friendly and went above and beyond to make my stay memorable.,positive,0.2916666666666667,positive
The location of this Airbnb was a bit noisy due to construction nearby.,negative,-0.125,negative
"The cleanliness of the Airbnb was mediocre, there were some dust and dirt in corners.",negative,-0.5,negative
The neighborhood where this Airbnb is located was a bit rough and run-down.,negative,-0.1,negative
I didn't feel completely safe in the surrounding area of this Airbnb.,positive,0.5,positive
"Unfortunately, this Airbnb did not allow pets, making it inconvenient for pet owners.",negative,-0.55,negative
The host was unresponsive to my messages and requests for assistance.,neutral,0.0,neutral
"The Airbnb was conveniently located near public transportation, making it easy to get around.",positive,0.17777777777777778,positive
"I loved how close this Airbnb was to the beach, providing stunning views and easy access.",positive,0.5444444444444444,positive
The Airbnb's location in a quiet residential area was ideal for a peaceful getaway.,positive,0.3833333333333333,positive
"Unfortunately, the Airbnb was situated in a remote area, far from the main attractions.",negative,-0.08333333333333334,negative
"The location of the Airbnb was noisy, with traffic and nightlife nearby.",neutral,0.0,neutral
I had difficulty finding the Airbnb due to poor signage and confusing directions.,negative,-0.27499999999999997,negative
"The Airbnb was far from public transportation, making it challenging to explore the city.",positive,0.19999999999999998,positive
"The location of the Airbnb was not as described, and it took longer to reach the city center.",negative,-0.1,negative
"The cleanliness of the Airbnb was exceptional, with spotless rooms and fresh linens.",positive,0.4833333333333333,positive
I appreciated the attention to detail in maintaining the cleanliness of the Airbnb.,positive,0.2,positive
"The Airbnb was well-maintained and cleaned regularly, ensuring a comfortable stay.",positive,0.2,positive
"Unfortunately, the cleanliness of the Airbnb fell short, with dirty floors and dusty surfaces.",negative,-0.375,negative
"There were unpleasant odors in the Airbnb, indicating a lack of thorough cleaning.",negative,-0.6499999999999999,negative
"The bathroom in the Airbnb was not cleaned properly, with visible stains and hair.",neutral,0.0,neutral
"I encountered pests in the Airbnb, indicating a lack of pest control measures.",neutral,0.0,neutral
The bedding in the Airbnb had stains and didn't appear to be freshly laundered.,positive,0.3,positive
"The cleanliness of the kitchen in the Airbnb was disappointing, with dirty utensils and countertops.",negative,-0.6,negative
The neighborhood where the Airbnb was located had a friendly and welcoming atmosphere.,positive,0.375,positive
I loved exploring the vibrant neighborhood with its unique shops and local cafes.,positive,0.3104166666666667,positive
"The Airbnb was situated in a picturesque neighborhood, perfect for leisurely walks.",positive,1.0,positive
"Unfortunately, the neighborhood surrounding the Airbnb felt unsafe and insecure.",negative,-0.5,negative
There was a lack of amenities and dining options in the immediate neighborhood.,neutral,0.0,neutral
"The Airbnb was in a noisy neighborhood, with loud construction and nightlife nearby.",positive,0.1,positive
"The surrounding neighborhood had a high crime rate, making me feel uneasy during my stay.",positive,0.16,positive
"I expected more attractions and points of interest in the neighborhood, but it was relatively dull.",positive,0.036111111111111115,positive
"I felt secure and safe during my stay at the Airbnb, thanks to robust security measures.",positive,0.3666666666666667,positive
"The Airbnb had secure access controls and surveillance cameras, ensuring peace of mind.",positive,0.4,positive
The neighborhood where the Airbnb was located had a reputation for safety and low crime rates.,neutral,0.0,neutral
