Review,sentiment,polarity,overall_sentiment
"The location of this Airbnb was perfect, close to all the popular attractions.",positive,8.2,positive
"The cleanliness of the Airbnb was outstanding, everything was spotless.",positive,7.0,positive
The neighborhood where this Airbnb is situated was vibrant and full of life.,positive,6.033333333333333,positive
I felt completely safe and secure during my stay at this Airbnb.,positive,6.8,positive
"They were so welcoming to my pet, it felt like a home away from home.",positive,5.0,positive
The host was incredibly helpful and accommodating.,positive,8.6,positive
The location of this Airbnb was a bit far from the city center.,positive,5.0,positive
"The cleanliness of the Airbnb could have been better, there were some dusty areas.",positive,5.2,positive
The neighborhood where this Airbnb is located was noisy and crowded.,positive,5.0,positive
I had some concerns about the security of the building.,positive,5.0,positive
"Unfortunately, this Airbnb did not allow pets.",positive,3.0,positive
The host was unresponsive and difficult to reach.,positive,3.0,positive
"The location of this Airbnb was amazing, with stunning views.",positive,7.2,positive
"The cleanliness of the Airbnb was impeccable, I was impressed.",positive,8.5,positive
The neighborhood where this Airbnb is situated was peaceful and charming.,positive,6.9,positive
I felt very safe and secure in this well-guarded Airbnb.,positive,7.1,positive
"They provided all the necessary amenities for my pet, it was fantastic.",positive,5.8,positive
"The host was incredibly friendly and helpful, making my stay enjoyable.",positive,6.75,positive
"The location of this Airbnb was a bit isolated, far from amenities.",positive,5.4,positive
"The cleanliness of the Airbnb was subpar, there were some stains on the linens.",positive,5.0,positive
The neighborhood where this Airbnb is located had limited dining options.,positive,4.714285714285714,positive
"I had concerns about the security of the neighborhood, especially at night.",positive,5.0,positive
"Unfortunately, this Airbnb did not allow pets, which was disappointing.",positive,2.8,positive
The host was unresponsive to my inquiries and requests.,positive,5.0,positive
The location of this Airbnb was conveniently located near public transportation.,positive,5.2,positive
"The cleanliness of the Airbnb exceeded my expectations, it was spotless.",positive,5.0,positive
The neighborhood where this Airbnb is situated had a vibrant nightlife scene.,positive,5.666666666666667,positive
I felt secure and comfortable with the provided security measures at this Airbnb.,positive,6.6,positive
"They welcomed my pet with open arms, providing pet beds and bowls.",positive,5.0,positive
The host was incredibly friendly and went above and beyond to make my stay memorable.,positive,6.166666666666667,positive
The location of this Airbnb was a bit noisy due to construction nearby.,positive,4.5,positive
"The cleanliness of the Airbnb was mediocre, there were some dust and dirt in corners.",positive,3.0,positive
The neighborhood where this Airbnb is located was a bit rough and run-down.,positive,4.6,positive
I didn't feel completely safe in the surrounding area of this Airbnb.,positive,7.0,positive
"Unfortunately, this Airbnb did not allow pets, making it inconvenient for pet owners.",positive,2.8,positive
The host was unresponsive to my messages and requests for assistance.,positive,5.0,positive
"The Airbnb was conveniently located near public transportation, making it easy to get around.",positive,5.711111111111111,positive
"I loved how close this Airbnb was to the beach, providing stunning views and easy access.",positive,7.177777777777777,positive
The Airbnb's location in a quiet residential area was ideal for a peaceful getaway.,positive,6.533333333333333,positive
"Unfortunately, the Airbnb was situated in a remote area, far from the main attractions.",positive,4.666666666666667,positive
"The location of the Airbnb was noisy, with traffic and nightlife nearby.",positive,5.0,positive
I had difficulty finding the Airbnb due to poor signage and confusing directions.,positive,3.9000000000000004,positive
"The Airbnb was far from public transportation, making it challenging to explore the city.",positive,5.8,positive
"The location of the Airbnb was not as described, and it took longer to reach the city center.",positive,4.6,positive
"The cleanliness of the Airbnb was exceptional, with spotless rooms and fresh linens.",positive,6.933333333333334,positive
I appreciated the attention to detail in maintaining the cleanliness of the Airbnb.,positive,5.8,positive
"The Airbnb was well-maintained and cleaned regularly, ensuring a comfortable stay.",positive,5.8,positive
"Unfortunately, the cleanliness of the Airbnb fell short, with dirty floors and dusty surfaces.",positive,3.5,positive
"There were unpleasant odors in the Airbnb, indicating a lack of thorough cleaning.",positive,2.4000000000000004,positive
"The bathroom in the Airbnb was not cleaned properly, with visible stains and hair.",positive,5.0,positive
"I encountered pests in the Airbnb, indicating a lack of pest control measures.",positive,5.0,positive
The bedding in the Airbnb had stains and didn't appear to be freshly laundered.,positive,6.2,positive
"The cleanliness of the kitchen in the Airbnb was disappointing, with dirty utensils and countertops.",positive,2.6,positive
The neighborhood where the Airbnb was located had a friendly and welcoming atmosphere.,positive,6.5,positive
I loved exploring the vibrant neighborhood with its unique shops and local cafes.,positive,6.241666666666667,positive
"The Airbnb was situated in a picturesque neighborhood, perfect for leisurely walks.",positive,9.0,positive
"Unfortunately, the neighborhood surrounding the Airbnb felt unsafe and insecure.",positive,3.0,positive
There was a lack of amenities and dining options in the immediate neighborhood.,positive,5.0,positive
"The Airbnb was in a noisy neighborhood, with loud construction and nightlife nearby.",positive,5.4,positive
"The surrounding neighborhood had a high crime rate, making me feel uneasy during my stay.",positive,5.64,positive
"I expected more attractions and points of interest in the neighborhood, but it was relatively dull.",positive,5.144444444444445,positive
"I felt secure and safe during my stay at the Airbnb, thanks to robust security measures.",positive,6.466666666666667,positive
"The Airbnb had secure access controls and surveillance cameras, ensuring peace of mind.",positive,6.6,positive
The neighborhood where the Airbnb was located had a reputation for safety and low crime rates.,positive,5.0,positive
"Unfortunately, I had concerns about the security of the Airbnb, especially regarding door locks.",positive,4.0,positive
The lack of proper lighting in the common areas of the Airbnb made me feel uneasy at night.,positive,4.4,positive
"There were no security features or guards in place, compromising the overall safety of the Airbnb.",positive,5.0,positive
"The neighborhood surrounding the Airbnb had a history of break-ins and thefts, raising security concerns.",positive,5.0,positive
I didn't feel comfortable leaving my belongings unattended in the Airbnb due to inadequate security.,positive,5.55,positive
"The Airbnb was incredibly pet-friendly, providing amenities and even a designated pet area.",positive,8.6,positive
"They welcomed my furry friend with open arms, providing bowls, treats, and a comfortable bed.",positive,5.8,positive
"The neighborhood had plenty of parks and green spaces, perfect for walking my pet.",positive,6.6,positive
"Unfortunately, the Airbnb did not allow pets, which was disappointing for a pet owner like me.",positive,2.8,positive
"There were limited pet-friendly facilities in the neighborhood, making it challenging to accommodate my pet's needs.",positive,5.857142857142858,positive
"The Airbnb had strict rules and restrictions regarding pets, making it inconvenient for pet owners.",positive,2.6,positive
I encountered difficulties finding pet-friendly outdoor spaces near the Airbnb for my pet's exercise.,positive,5.4,positive
"The Airbnb did not provide any amenities or considerations for pets, making it unsuitable for pet owners.",positive,5.0,positive
"The host of the Airbnb was friendly, accommodating, and responsive to my needs.",positive,6.5,positive
"They provided helpful local tips and recommendations, enhancing my overall experience.",positive,5.0,positive
"The host went above and beyond to ensure a comfortable stay, making me feel like a valued guest.",positive,5.8,positive
"Unfortunately, the host was unresponsive to my messages and requests for assistance.",positive,3.0,positive
"The host was unfriendly and lacked professionalism, creating a negative impression of the Airbnb.",positive,3.8,positive
"They were unhelpful when I encountered issues during my stay, failing to provide any support.",positive,5.0,positive
"The host was difficult to reach, causing delays and inconvenience in resolving my concerns.",positive,3.0,positive
"I felt ignored and disregarded by the host, leading to a disappointing experience at the Airbnb.",positive,2.6,positive
I loved how close this Airbnb was to all the popular attractions and restaurants.,positive,7.6,positive
The Airbnb's location provided breathtaking views of the surrounding mountains.,positive,9.0,positive
"Unfortunately, the Airbnb was quite far from the main tourist areas.",positive,4.688888888888889,positive
"The location of the Airbnb was in a noisy neighborhood, making it hard to sleep.",positive,3.833333333333333,positive
I had trouble finding the Airbnb due to its hidden location and poor signage.,positive,4.108333333333333,positive
"The Airbnb was far from public transportation, making it inconvenient to get around.",positive,4.333333333333333,positive
"The location of the Airbnb was in a sketchy area, and I didn't feel safe walking alone.",positive,7.0,positive
"The cleanliness of the Airbnb was top-notch, everything was sparkling clean.",positive,7.733333333333333,positive
I appreciated the efforts of the host in maintaining the cleanliness of the Airbnb.,positive,5.8,positive
"The Airbnb was spotless, and it felt like stepping into a brand new place.",positive,5.545454545454545,positive
"Unfortunately, the cleanliness of the Airbnb fell short of my expectations.",positive,4.0,positive
"There were visible stains and dirt in some areas of the Airbnb, indicating a lack of cleaning.",positive,5.0,positive
"The bathroom in the Airbnb was not cleaned properly, and it had an unpleasant odor.",positive,3.7,positive
"I found hair and dust in the bedding, which made me question the cleanliness of the Airbnb.",positive,5.0,positive
"The cleanliness of the kitchen was questionable, with greasy countertops and dirty utensils.",positive,2.8,positive
The neighborhood where the Airbnb was located had a charming atmosphere with friendly locals.,positive,7.15,positive
I enjoyed exploring the vibrant neighborhood filled with trendy cafes and boutiques.,positive,6.666666666666666,positive
"The Airbnb was situated in a quiet and peaceful neighborhood, perfect for relaxation.",positive,6.666666666666667,positive
"Unfortunately, the neighborhood had limited dining options and amenities.",positive,3.857142857142857,positive
The Airbnb was located in a noisy neighborhood with constant traffic and construction noise.,positive,5.0,positive
I felt uncomfortable walking around the neighborhood at night due to safety concerns.,positive,3.75,positive
"The neighborhood lacked green spaces and parks, making it difficult to enjoy outdoor activities.",positive,4.6,positive
I was disappointed with the lack of attractions and points of interest in the immediate neighborhood.,positive,2.0,positive
"I felt safe and secure throughout my stay at the Airbnb, thanks to reliable security measures.",positive,6.466666666666667,positive
"The Airbnb had secure locks and a well-lit entrance, providing peace of mind.",positive,6.6,positive
"The neighborhood where the Airbnb was located had a low crime rate, making me feel at ease.",positive,5.0,positive
"Unfortunately, the security of the Airbnb was questionable, with flimsy locks and poor lighting.",positive,3.1333333333333337,positive
"I had concerns about the overall safety of the neighborhood, especially during nighttime.",positive,5.0,positive
"The Airbnb lacked security features and measures, which made me feel vulnerable.",positive,3.0,positive
I didn't feel comfortable leaving my belongings unattended in the Airbnb due to inadequate security.,positive,5.55,positive
"The neighborhood had a reputation for petty theft, which affected my sense of security.",positive,5.0,positive
"The Airbnb was extremely pet-friendly, with dedicated areas and amenities for pets.",positive,4.5,positive
"They provided a comfortable space for my pet, including bowls and toys.",positive,6.6,positive
"The neighborhood had pet-friendly parks and trails, making it convenient for pet owners.",positive,5.0,positive
